                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 2.2005,                 1.6631,                 2.9796,                0.00033,                    0.1,                0.00026,                  3e-05,                 3.8858,                    inf,                 82.981,               0.015453,               0.008453,               0.008453
                     48,                 2.4222,                 1.8781,                 3.2216,                0.00136,                    0.4,                 0.0014,                0.00025,                 4.0067,                    inf,                 54.899,               0.013616,              0.0086159,              0.0086159
                     49,                 2.3047,                 1.9322,                 3.0708,                0.00136,                    0.4,                 0.0014,                0.00025,                 4.0067,                    inf,                 54.899,               0.011778,              0.0087781,              0.0087781
                     50,                 2.4054,                 1.8283,                 3.0661,                0.00212,                    0.6,                 0.0017,                0.00064,                 3.0248,                    inf,                 29.834,              0.0099395,              0.0089395,              0.0089395
                     51,                 2.3212,                  1.939,                 3.0656,                0.00212,                    0.6,                 0.0017,                0.00064,                 3.0248,                    inf,                 29.834,                0.00901,                0.00901,                0.00901
                     52,                 2.2388,                 1.8385,                 2.9243,                0.00428,                      1,                0.00477,                0.00142,                 2.6199,                    inf,                 20.381,              0.0089902,              0.0089902,              0.0089902
                     53,                 2.6041,                   1.67,                 3.2071,                0.00428,                      1,                0.00477,                0.00142,                 2.6199,                    inf,                 20.381,              0.0089704,              0.0089704,              0.0089704
                     54,                 2.3089,                 1.7621,                 3.0392,                0.00562,                      1,                0.00587,                0.00179,                 2.4981,                 677.72,                 11.945,              0.0089506,              0.0089506,              0.0089506
                     55,                  2.424,                 1.8576,                 3.1179,                0.00562,                      1,                0.00587,                0.00179,                 2.4981,                 677.72,                 11.945,              0.0089308,              0.0089308,              0.0089308
                     56,                 2.4047,                 2.1957,                 2.9485,                0.00444,                    0.9,                0.00431,                0.00147,                 2.5969,                 364.98,                 11.027,               0.008911,               0.008911,               0.008911
                     57,                 2.4711,                 1.7682,                 3.1932,                0.00444,                    0.9,                0.00431,                0.00147,                 2.5969,                 364.98,                 11.027,              0.0088912,              0.0088912,              0.0088912
                     58,                 2.4499,                 1.9543,                 3.0761,                0.02062,                    0.9,                0.02473,                0.01056,                 2.1877,                 14.786,                 5.7765,              0.0088714,              0.0088714,              0.0088714
                     59,                  2.287,                 1.9237,                 2.9735,                0.02062,                    0.9,                0.02473,                0.01056,                 2.1877,                 14.786,                 5.7765,              0.0088516,              0.0088516,              0.0088516
                     60,                 2.3853,                 1.8832,                 3.1227,                0.08831,                    0.7,                0.09848,                0.04741,                 2.0675,                 4.1953,                  3.265,              0.0088318,              0.0088318,              0.0088318
                     61,                 2.3325,                 1.6315,                 2.9854,                0.08831,                    0.7,                0.09848,                0.04741,                 2.0675,                 4.1953,                  3.265,               0.008812,               0.008812,               0.008812
                     62,                 2.1014,                 1.4807,                 2.9609,                0.29395,                    0.6,                0.33393,                0.18191,                 2.0785,                 4.7591,                 3.1027,              0.0087922,              0.0087922,              0.0087922
                     63,                 2.3019,                 1.9553,                 2.9048,                0.29395,                    0.6,                0.33393,                0.18191,                 2.0785,                 4.7591,                 3.1027,              0.0087724,              0.0087724,              0.0087724
                     64,                 2.2754,                 1.7418,                 3.0163,                  0.445,                0.40101,                0.46125,                0.22296,                  2.267,                 5.3581,                 3.5466,              0.0087526,              0.0087526,              0.0087526
                     65,                 2.3007,                 1.7251,                 2.9082,                  0.445,                0.40101,                0.46125,                0.22296,                  2.267,                 5.3581,                 3.5466,              0.0087328,              0.0087328,              0.0087328
                     66,                 2.3097,                 1.7364,                 2.9388,                 0.0712,                    0.7,                0.07217,                 0.0272,                 2.3891,                 10.803,                 3.9787,               0.008713,               0.008713,               0.008713
                     67,                 2.1006,                 1.7114,                 2.8592,                 0.0712,                    0.7,                0.07217,                 0.0272,                 2.3891,                 10.803,                 3.9787,              0.0086932,              0.0086932,              0.0086932
                     68,                 2.3153,                  1.835,                 3.0108,                0.05434,                    0.9,                0.05587,                0.02068,                 2.3912,                 24.706,                 4.1146,              0.0086734,              0.0086734,              0.0086734
                     69,                 2.1823,                 1.5764,                 2.8205,                0.05434,                    0.9,                0.05587,                0.02068,                 2.3912,                 24.706,                 4.1146,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.9958,                 1.4757,                 2.8577,                0.03807,                      1,                0.05279,                 0.0224,                 2.2031,                 74.201,                 4.1252,              0.0086338,              0.0086338,              0.0086338
                     71,                 2.2618,                 1.7011,                 2.8997,                0.03807,                      1,                0.05279,                 0.0224,                 2.2031,                 74.201,                 4.1252,               0.008614,               0.008614,               0.008614
                     72,                 2.2118,                 1.8111,                 2.9217,                0.03198,                      1,                 0.0706,                0.02952,                 2.1285,                 117.85,                 3.8863,              0.0085942,              0.0085942,              0.0085942
                     73,                 2.2112,                 1.6002,                  2.843,                0.03198,                      1,                 0.0706,                0.02952,                 2.1285,                 117.85,                 3.8863,              0.0085744,              0.0085744,              0.0085744
                     74,                 2.3559,                 1.5928,                 2.7618,                0.01271,                      1,                0.08287,                0.03355,                 2.0666,                 252.21,                 4.1734,              0.0085546,              0.0085546,              0.0085546
                     75,                 2.0291,                 1.7926,                 2.7645,                0.01271,                      1,                0.08287,                0.03355,                 2.0666,                 252.21,                 4.1734,              0.0085348,              0.0085348,              0.0085348
                     76,                 2.2192,                 1.7905,                 2.9057,                0.08182,                    0.9,                0.09217,                0.04401,                 1.9016,                 217.55,                 4.0947,               0.008515,               0.008515,               0.008515
                     77,                 2.2736,                  1.742,                 2.9564,                0.08182,                    0.9,                0.09217,                0.04401,                 1.9016,                 217.55,                 4.0947,              0.0084952,              0.0084952,              0.0084952
                     78,                 2.1901,                  1.538,                 2.8385,                0.10753,                      1,                0.11391,                0.05369,                 1.8951,                 134.16,                  3.995,              0.0084754,              0.0084754,              0.0084754
                     79,                 2.1203,                 1.6271,                 2.7356,                0.10753,                      1,                0.11391,                0.05369,                 1.8951,                 134.16,                  3.995,              0.0084556,              0.0084556,              0.0084556
                     80,                 2.2114,                 1.6502,                 2.9306,                0.13699,                      1,                0.25174,                0.12266,                 1.9297,                 80.859,                 3.7789,              0.0084358,              0.0084358,              0.0084358
                     81,                 2.2138,                 1.6462,                  2.844,                0.13699,                      1,                0.25174,                0.12266,                 1.9297,                 80.859,                 3.7789,               0.008416,               0.008416,               0.008416
                     82,                 2.1513,                 1.6895,                 2.8172,                0.19231,                      1,                0.37192,                  0.123,                 2.1117,                 63.919,                 3.5904,              0.0083962,              0.0083962,              0.0083962
                     83,                 2.1021,                 1.7345,                 2.8122,                0.19231,                      1,                0.37192,                  0.123,                 2.1117,                 63.919,                 3.5904,              0.0083764,              0.0083764,              0.0083764
                     84,                 2.2095,                 1.7128,                 2.8088,                 0.1097,                      1,                0.52162,                0.18399,                 2.1519,                 26.719,                 3.2071,              0.0083566,              0.0083566,              0.0083566
                     85,                 2.0085,                 1.5491,                 2.7628,                 0.1097,                      1,                0.52162,                0.18399,                 2.1519,                 26.719,                 3.2071,              0.0083368,              0.0083368,              0.0083368
                     86,                 2.1552,                  1.732,                 2.8437,                 0.4274,                    0.8,                0.60275,                0.17787,                 2.0574,                 6.4782,                 2.9131,               0.008317,               0.008317,               0.008317
                     87,                 2.0394,                  1.549,                 2.7505,                 0.4274,                    0.8,                0.60275,                0.17787,                 2.0574,                 6.4782,                 2.9131,              0.0082972,              0.0082972,              0.0082972
                     88,                 2.3498,                 1.6564,                 2.9862,                0.14815,                    0.8,                 0.1434,                0.07483,                 1.7576,                 5.1622,                 2.5966,              0.0082774,              0.0082774,              0.0082774
                     89,                 1.9986,                 1.4955,                 2.9151,                0.14815,                    0.8,                 0.1434,                0.07483,                 1.7576,                 5.1622,                 2.5966,              0.0082576,              0.0082576,              0.0082576
                     90,                 2.1457,                 1.4765,                 2.8248,                0.10608,                    0.5,                0.08631,                0.05376,                 1.5528,                  5.201,                 2.4545,              0.0082378,              0.0082378,              0.0082378
                     91,                 2.0992,                 1.6383,                 2.7236,                0.10608,                    0.5,                0.08631,                0.05376,                 1.5528,                  5.201,                 2.4545,               0.008218,               0.008218,               0.008218
                     92,                 2.1806,                 1.7382,                 2.8349,                0.12356,                    0.3,                0.09302,                0.06292,                 1.6529,                  4.666,                 2.5922,              0.0081982,              0.0081982,              0.0081982
                     93,                 2.0466,                  1.639,                 2.8808,                0.12356,                    0.3,                0.09302,                0.06292,                 1.6529,                  4.666,                 2.5922,              0.0081784,              0.0081784,              0.0081784
                     94,                 2.0778,                 1.6496,                 2.7788,                0.23497,                    0.3,                0.16427,                0.10698,                 1.6439,                 3.9266,                 2.6067,              0.0081586,              0.0081586,              0.0081586
                     95,                 2.0971,                 1.6438,                 2.8864,                0.23497,                    0.3,                0.16427,                0.10698,                 1.6439,                 3.9266,                 2.6067,              0.0081388,              0.0081388,              0.0081388
                     96,                 2.1442,                 1.6921,                 2.8263,                0.01768,                    0.6,                 0.0291,                0.01714,                  1.704,                 3.9966,                  2.616,               0.008119,               0.008119,               0.008119
                     97,                 2.0976,                 1.7382,                 2.7969,                0.01768,                    0.6,                 0.0291,                0.01714,                  1.704,                 3.9966,                  2.616,              0.0080992,              0.0080992,              0.0080992
                     98,                 2.0136,                 1.4797,                 2.7136,                0.01768,                    0.6,                 0.0291,                0.01714,                 2.4276,                 6.3579,                 3.1006,              0.0080794,              0.0080794,              0.0080794
                     99,                  2.143,                  1.711,                 2.8297,                0.01768,                    0.6,                 0.0291,                0.01714,                 2.4276,                 6.3579,                 3.1006,              0.0080596,              0.0080596,              0.0080596
                    100,                 1.8205,                 1.5692,                 2.7766,                0.01768,                    0.6,                 0.0291,                0.01714,                 2.5425,                 7.4403,                  3.247,              0.0080398,              0.0080398,              0.0080398
                    101,                  1.991,                 1.5295,                   2.74,                0.01768,                    0.6,                 0.0291,                0.01714,                 2.5425,                 7.4403,                  3.247,                0.00802,                0.00802,                0.00802
                    102,                  2.144,                 1.7466,                 2.7025,                0.00077,                    0.1,                0.00042,                  8e-05,                 2.5405,                 6.9298,                 3.2026,              0.0080002,              0.0080002,              0.0080002
                    103,                 2.0815,                 1.6648,                 2.7483,                0.00077,                    0.1,                0.00042,                  8e-05,                 2.5405,                 6.9298,                 3.2026,              0.0079804,              0.0079804,              0.0079804
                    104,                 2.1049,                 1.5793,                 2.8915,                0.06416,                    0.1,                0.03583,                0.01672,                 2.2071,                 5.1437,                 2.9282,              0.0079606,              0.0079606,              0.0079606
                    105,                  1.907,                 1.5415,                 2.6164,                0.06416,                    0.1,                0.03583,                0.01672,                 2.2071,                 5.1437,                 2.9282,              0.0079408,              0.0079408,              0.0079408
                    106,                 1.8733,                 1.6727,                 2.6533,                 0.4213,                    0.7,                0.57088,                0.32727,                 1.6323,                 10.041,                  2.525,               0.007921,               0.007921,               0.007921
                    107,                 2.0357,                 1.6306,                 2.7953,                 0.4213,                    0.7,                0.57088,                0.32727,                 1.6323,                 10.041,                  2.525,              0.0079012,              0.0079012,              0.0079012
                    108,                 2.1655,                 1.6315,                 2.7972,                0.53355,                    0.6,                0.75656,                0.45889,                 1.6821,                 18.861,                 2.6307,              0.0078814,              0.0078814,              0.0078814
                    109,                 1.8706,                 1.4694,                 2.6944,                0.53355,                    0.6,                0.75656,                0.45889,                 1.6821,                 18.861,                 2.6307,              0.0078616,              0.0078616,              0.0078616
                    110,                  1.976,                 1.6486,                 2.7231,                0.63629,                0.69979,                0.78357,                0.51039,                 1.5577,                 12.932,                 2.4302,              0.0078418,              0.0078418,              0.0078418
                    111,                 2.0449,                 1.6593,                 2.6544,                0.63629,                0.69979,                0.78357,                0.51039,                 1.5577,                 12.932,                 2.4302,               0.007822,               0.007822,               0.007822
                    112,                 2.1695,                 1.7321,                 2.6485,                0.64161,                    0.9,                0.83328,                0.56846,                 1.4856,                 4.8398,                 2.3585,              0.0078022,              0.0078022,              0.0078022
                    113,                 1.8973,                 1.5082,                 2.6817,                0.64161,                    0.9,                0.83328,                0.56846,                 1.4856,                 4.8398,                 2.3585,              0.0077824,              0.0077824,              0.0077824
                    114,                 2.0577,                 1.5657,                 2.7988,                      1,                0.98969,                  0.995,                 0.6833,                 1.5465,                 3.1201,                 2.4127,              0.0077626,              0.0077626,              0.0077626
                    115,                 2.0269,                 1.5353,                 2.6347,                      1,                0.98969,                  0.995,                 0.6833,                 1.5465,                 3.1201,                 2.4127,              0.0077428,              0.0077428,              0.0077428
                    116,                 1.9886,                 1.5685,                 2.6598,                0.86003,                    0.8,                0.96167,                0.65333,                 1.4927,                 2.1936,                 2.4465,               0.007723,               0.007723,               0.007723
                    117,                 1.7992,                 1.3352,                 2.6265,                0.86003,                    0.8,                0.96167,                0.65333,                 1.4927,                 2.1936,                 2.4465,              0.0077032,              0.0077032,              0.0077032
                    118,                 1.8301,                 1.4568,                 2.6122,                0.72369,                    0.8,                0.85077,                0.59611,                 1.4631,                 1.6339,                 2.3679,              0.0076834,              0.0076834,              0.0076834
                    119,                 1.9931,                 1.5982,                 2.6343,                0.72369,                    0.8,                0.85077,                0.59611,                 1.4631,                 1.6339,                 2.3679,              0.0076636,              0.0076636,              0.0076636
                    120,                 2.0945,                 1.4439,                  2.678,                0.78703,                    0.6,                0.80987,                  0.561,                 1.5522,                 1.5935,                 2.5139,              0.0076438,              0.0076438,              0.0076438
                    121,                 1.7689,                 1.4325,                 2.6378,                0.78703,                    0.6,                0.80987,                  0.561,                 1.5522,                 1.5935,                 2.5139,               0.007624,               0.007624,               0.007624
                    122,                 1.9453,                 1.5473,                 2.5931,                0.67326,                    0.7,                0.76238,                0.49459,                 1.6068,                 1.4275,                 2.5814,              0.0076042,              0.0076042,              0.0076042
                    123,                 1.8809,                 1.4615,                 2.7229,                0.67326,                    0.7,                0.76238,                0.49459,                 1.6068,                 1.4275,                 2.5814,              0.0075844,              0.0075844,              0.0075844
                    124,                 2.0554,                 1.5929,                 2.6921,                 0.6232,                    0.7,                0.69425,                0.49796,                 1.4866,                 1.4336,                 2.3207,              0.0075646,              0.0075646,              0.0075646
                    125,                 1.7846,                 1.4936,                 2.6209,                 0.6232,                    0.7,                0.69425,                0.49796,                 1.4866,                 1.4336,                 2.3207,              0.0075448,              0.0075448,              0.0075448
                    126,                 1.9454,                 1.5546,                 2.6759,                0.61168,                    0.7,                0.63043,                 0.4436,                 1.5119,                 1.6178,                 2.3245,               0.007525,               0.007525,               0.007525
                    127,                 1.8174,                 1.3975,                 2.6459,                0.61168,                    0.7,                0.63043,                 0.4436,                 1.5119,                 1.6178,                 2.3245,              0.0075052,              0.0075052,              0.0075052
